feature,importance
product_historical_stockout_rate,16569745.523591995
order_week,5575134.2021484375
storage_stockout_rate,4819253.27551651
customer_order_frequency,3583897.5628910065
customer_avg_lead_time,3151933.9389858246
order_qty,2591086.932121277
lead_time_days,2564161.324455261
plant_stockout_rate,1901998.391401291
order_day_of_week,1532953.2808132172
order_month,1359412.050189972
warehouse_stockout_rate,1238080.7425231934
supplier_reliability,1042721.8763771057
product_order_frequency,849613.173871994
is_large_order,745251.3345222473
order_hour,571245.0093307495
product_avg_order_qty,518940.99226760864
is_holiday_season,335218.0013332367
is_friday,236061.01181793213
replacement_stockout_rate,229449.90014266968
replacement_intensity,189918.4294719696
is_weekend,136257.01375198364
is_monday,84091.10256958008
quarter,49323.93951225281
is_rush_hour,15499.010297775269
