product_code,temperature_condition,min_temperature,max_temperature,temperature_range,freshness_category,is_perishable
6409460002724,4,5.0,8.0,3.0,medium_sensitivity,1
6416597016579,8,2.0,25.0,23.0,low_sensitivity,0
6416796729140,8,5.0,20.0,15.0,low_sensitivity,0
5017764112264,8,5.0,25.0,20.0,low_sensitivity,0
8714521950172,5,,,,medium_sensitivity,1
5411188082583,3,1.0,6.0,5.0,high_sensitivity,1
6430104952570,7,-30.0,-18.0,12.0,low_sensitivity,0
6416250007890,3,,,,high_sensitivity,1
8076800035988,8,,,,low_sensitivity,0
6408190005609,7,-25.0,-18.0,7.0,low_sensitivity,0
7321031479751,8,,,,low_sensitivity,0
7310500037240,7,-25.0,-18.0,7.0,low_sensitivity,0
2300121300000,5,,,,medium_sensitivity,1
2300100100000,5,,,,medium_sensitivity,1
2300121600000,5,,,,medium_sensitivity,1
2300106200000,4,,,,medium_sensitivity,1
2300110200000,2,,,,high_sensitivity,1
6430061750011,2,,,,high_sensitivity,1
6411404017329,8,16.0,20.0,4.0,low_sensitivity,0
5017764112370,8,5.0,25.0,20.0,low_sensitivity,0
6414630000271,8,,,,low_sensitivity,0
2300123300000,4,,,,medium_sensitivity,1
2300106700000,4,,,,medium_sensitivity,1
7321035065011,8,,,,low_sensitivity,0
6420218026120,8,18.0,22.0,4.0,low_sensitivity,0
2300120400000,5,,,,medium_sensitivity,1
2300130600000,2,,,,high_sensitivity,1
2300110100000,5,,,,medium_sensitivity,1
7322540656299,8,,,,low_sensitivity,0
2300130100000,5,,,,medium_sensitivity,1
7322540658088,8,,,,low_sensitivity,0
2300101200000,4,,,,medium_sensitivity,1
6408430843213,8,,,,low_sensitivity,0
2300106400000,5,,,,medium_sensitivity,1
5906747309503,8,18.0,22.0,4.0,low_sensitivity,0
2300131500000,5,,,,medium_sensitivity,1
6414630000929,8,,,,low_sensitivity,0
7310500037196,7,-25.0,-18.0,7.0,low_sensitivity,0
7310500063614,7,-25.0,-18.0,7.0,low_sensitivity,0
6417227721009,3,1.0,8.0,7.0,high_sensitivity,1
7310500037790,7,-25.0,-18.0,7.0,low_sensitivity,0
,5,,,,medium_sensitivity,1
6409460002779,4,5.0,8.0,3.0,medium_sensitivity,1
2300107600000,4,,,,medium_sensitivity,1
7321010027331,8,,,,low_sensitivity,0
2300121200000,4,,,,medium_sensitivity,1
5201194000042,8,18.0,22.0,4.0,low_sensitivity,0
6412000016310,8,18.0,22.0,4.0,low_sensitivity,0
6417941121314,8,,,,low_sensitivity,0
883314398458,8,,,,low_sensitivity,0
