product_code,supplier_id,order_count
400001,30550,4
400002,30019,20
400003,30019,3
400004,30550,11
400005,30019,1
400006,30064,292
400007,30064,153
400008,30027,92
400009,30019,3
400010,30027,44
400011,400435,80
400012,30027,62
400014,30397,15
400016,30048,22
400017,30019,5
400018,400298,26
400019,30377,37
400020,30483,26
400021,30504,21
400022,400894,4
400023,400123,8
400024,30502,65
400025,400894,5
400026,400894,44
400027,30377,81
400028,30377,31
400029,30377,29
400030,400435,21
400031,400435,41
400032,30373,749
400033,30282,7
400034,400123,40
400035,30377,36
400036,30006,5
400038,30529,4
400039,30529,2
400040,30377,30
400041,30529,9
400042,400435,114
400043,30166,5
400044,30109,49
400045,400894,53
400046,400435,54
400047,30109,111
400048,400894,27
400049,30168,8
400050,400435,176
400051,400580,48
400052,400296,42
400053,400435,45
400054,400296,31
400056,30554,3
400057,400454,18
400061,400580,28
400062,30502,149
400063,30495,70
400064,400894,78
400065,400894,60
400066,30367,5
400067,30475,28
400068,30504,7
400069,30208,10
400070,400435,151
400071,30420,9
400072,400435,171
400073,400435,238
400074,30282,74
400075,400435,183
400076,30282,13
400077,400580,197
400078,400580,27
400079,30282,95
400080,400435,88
400081,400435,62
400082,30208,10
400083,30059,20
400084,400296,9
400086,30483,8
400087,30550,16
400088,400435,11
400090,400476,50
400091,30494,29
400092,30424,21
400093,30163,15
400094,30112,14
400095,30112,5
400096,30112,79
400097,400894,4
400098,400435,141
400099,400435,94
400100,30470,83
400101,400894,17
400102,30282,16
400103,400473,77
400105,30228,80
400106,30228,98
400107,30475,8
400108,30475,16
400109,400894,26
400110,30282,4
400111,30102,55
400112,30129,38
400113,30114,20
400114,30130,10
400115,30116,18
400119,400322,84
400120,400435,112
400121,400469,56
400122,400580,305
400123,400580,12
400124,400580,4
400125,30328,28
400126,400894,94
400127,400580,46
400128,400435,48
400129,400580,207
400130,30420,8
400131,400103,3
400132,400580,25
400133,30454,29
400134,30451,75
400135,400435,72
400136,30244,6
400137,30451,100
400139,30451,69
400142,400580,9
400143,30451,82
400144,400298,25
400145,30451,6
400146,30451,13
400147,30451,10
400148,30451,10
400149,30451,10
400150,30451,5
400151,30282,8
400152,30451,65
400153,30529,47
400154,30048,9
400155,400435,2
400156,30451,12
400157,30282,1
400159,400048,5
400160,30135,26
400161,400048,4
400163,30370,165
400164,30282,4
400165,400435,109
400166,400435,128
400168,30420,122
400169,30420,83
400170,400435,271
400171,400580,21
400172,30282,5
400173,400435,174
400174,400435,148
400175,400435,144
400176,400435,323
400177,30077,10
400178,30282,4
400179,30451,52
400180,400580,40
400181,30420,71
400182,30169,294
400183,400894,71
400184,400894,107
400185,30102,185
400186,400435,154
400187,30077,19
400188,400475,5
400191,30077,38
400192,30077,33
400193,30208,4
400194,30077,19
400195,30077,11
400196,30077,35
400197,30077,1
400199,400580,35
400200,400580,90
400201,30048,7
400203,400580,39
400204,400580,7
400205,400580,62
400207,30166,24
400209,30077,1
400210,30181,1
400212,30454,5
400213,30424,8
400214,30019,1
400215,30540,3
400216,30483,11
400218,30163,1
400219,400066,24
400220,30545,21
400221,30178,27
400222,30178,10
400223,400103,26
400224,30520,240
400226,400476,3
400227,400066,105
400228,400284,13
400229,400066,28
400230,400066,29
400232,30504,4
400233,30251,1
400234,400580,156
400235,30377,94
400236,30465,5
400237,400580,119
400238,400580,65
400239,30420,39
400240,400894,76
400241,400580,6
400242,30420,3
400243,400580,13
400244,30126,4
400245,30126,3
400246,400580,66
400247,400435,41
400249,30550,6
400250,30497,8
400251,400580,66
400252,400580,13
400253,400580,56
400254,30497,15
400255,400435,57
400256,400435,128
400257,400894,12
400258,400435,95
400259,30102,17
400260,30363,10
400261,30420,27
400262,400580,39
400263,30545,13
400264,30454,9
400267,30274,7
400268,400066,17
400269,30454,33
400270,30102,25
400273,30157,10
400274,400435,136
400275,30454,4
400277,30140,5
400278,30328,32
400279,30077,5
400280,400435,65
400282,30169,259
400283,30420,44
400284,400435,51
400285,400435,56
400286,400435,271
400287,400894,88
400288,30328,30
400289,400894,12
400290,400894,70
400293,30373,464
400294,400894,77
400295,400894,87
400296,30169,337
400297,30065,122
400298,400894,46
400299,30377,130
400300,30377,124
400302,30244,60
400303,400580,75
400304,30244,50
400305,30059,38
400306,30006,1
400307,400103,14
400308,30397,16
400309,30204,23
400310,30518,10
400311,30021,3
400312,30021,5
400313,30422,11
400315,400435,155
400316,400435,131
400317,400435,108
400318,400435,155
400320,30073,69
400321,400894,70
400322,400894,58
400323,400894,50
400324,400894,82
400325,400894,107
400326,400435,166
400327,400894,105
400328,400894,20
400329,400894,38
400330,400894,40
400333,30112,23
400334,30397,10
400335,30438,23
