product_code,is_stockout_sum,total_orders,stockout_rate,total_shortage
402465,26,26,1.0,163.82
407425,28,28,1.0,244.0
406021,264,268,0.9851,3487.0
413754,180,183,0.9836,2958.0
401864,37,38,0.9737,152.0
410531,206,212,0.9717,3683.0
412913,34,35,0.9714,354.0
415467,30,31,0.9677,870.0
412964,378,393,0.9618,8331.0
413641,25,26,0.9615,116.0
411783,132,138,0.9565,1000.0
405608,22,23,0.9565,88.0
415345,20,21,0.9524,380.0
410608,190,201,0.9453,702.0
413745,344,366,0.9399,2903.929
411608,263,280,0.9393,886.0
401234,30,32,0.9375,56.0
402391,71,76,0.9342,2606.45
412855,28,30,0.9333,1576.0
405032,165,177,0.9322,1872.0
405021,338,364,0.9286,3215.0
410519,37,40,0.925,210.0
407178,183,198,0.9242,1276.0
408539,222,241,0.9212,454.0
415007,93,101,0.9208,416.0
409318,148,161,0.9193,877.0
402658,33,36,0.9167,75.235
401792,33,36,0.9167,714.0
402155,43,47,0.9149,248.0
406883,63,69,0.913,237.0
405924,21,23,0.913,102.0
415892,41,45,0.9111,172.0
407924,111,122,0.9098,582.0
406322,189,208,0.9087,2193.0
409382,68,75,0.9067,4391.0
408177,57,63,0.9048,152.0
413841,28,31,0.9032,252.0
415799,73,81,0.9012,314.0
408913,632,702,0.9003,5746.0
404460,266,296,0.8986,2103.0
412070,50,56,0.8929,274.0
415919,58,65,0.8923,277.0
411556,49,55,0.8909,324.0
401472,423,475,0.8905,1251.0
413826,397,446,0.8901,808.0
406906,40,45,0.8889,172.0
412086,183,207,0.8841,1195.0
401811,137,155,0.8839,744.0
412283,75,85,0.8824,332.0
414192,30,34,0.8824,172.0
407407,30,34,0.8824,145.0
406073,397,450,0.8822,1053.0
404773,81,92,0.8804,176.0
408745,234,266,0.8797,967.0
413171,240,273,0.8791,1061.0
405509,145,165,0.8788,345.0
415796,72,82,0.878,770.0
413655,36,41,0.878,56.0
416369,114,130,0.8769,475.0
406323,121,138,0.8768,950.0
414212,64,73,0.8767,514.0
411030,176,201,0.8756,1532.0
412912,21,24,0.875,60.0
401461,21,24,0.875,673.122
407004,83,95,0.8737,771.0
405129,186,213,0.8732,773.0
408505,81,93,0.871,354.0
403404,189,217,0.871,631.0
411830,27,31,0.871,30.0
404580,364,418,0.8708,1713.0
406178,503,578,0.8702,1960.0
403311,154,177,0.8701,782.0
405952,100,115,0.8696,163.0
411287,20,23,0.8696,168.0
408994,792,915,0.8656,2409.0
408938,19,22,0.8636,82.0
406700,194,225,0.8622,540.0
411375,1092,1268,0.8612,6170.0
409281,68,79,0.8608,184.0
403563,154,179,0.8603,1256.0
404420,166,193,0.8601,531.0
410055,364,424,0.8585,20748.0
412880,127,148,0.8581,764.0
408592,262,306,0.8562,650.0
413852,64,75,0.8533,290.0
413868,29,34,0.8529,78.0
404205,380,446,0.852,4122.0
413584,23,27,0.8519,295.0
412162,138,162,0.8519,459.0
410416,23,27,0.8519,134.0
410649,23,27,0.8519,42.0
406830,46,54,0.8519,246.0
407134,263,309,0.8511,1246.0
401475,17,20,0.85,50.0
414392,34,40,0.85,180.0
409405,68,80,0.85,184.0
402542,269,318,0.8459,1175.745
406020,257,304,0.8454,1273.0
406856,283,335,0.8448,1158.0
411930,167,198,0.8434,613.0
407795,246,292,0.8425,908.0
406190,53,63,0.8413,121.0
413060,63,75,0.84,128.0
408145,557,666,0.8363,4019.0
408742,81,97,0.8351,24.91
408743,86,103,0.835,758.0
402770,65,78,0.8333,158.0
413221,50,60,0.8333,245.0
412631,352,423,0.8322,1145.0
412962,89,107,0.8318,276.0
404495,64,77,0.8312,231.0
405019,59,71,0.831,319.0
412689,88,106,0.8302,296.25
413100,44,53,0.8302,163.0
409903,19,23,0.8261,46.0
408566,80,97,0.8247,330.0
