product_code,replacement_orders,replacement_stockout_rate,replacement_total_shortage,sales_orders,replacement_intensity
400006,4,0.25,5.0,8760.0,0.00045662100456621003
400007,1,0.0,0.0,1016.0,0.000984251968503937
400008,1,0.0,0.0,181.0,0.0055248618784530384
400011,2,0.0,-0.7200000000000002,327.0,0.0061162079510703364
400012,4,1.0,30.0,454.0,0.00881057268722467
400019,1,0.0,-0.2599999999999998,400.0,0.0025
400021,2,0.0,0.0,326.0,0.006134969325153374
400022,1,0.0,0.0,23.0,0.043478260869565216
400027,4,0.25,-0.2889999999999999,1555.0,0.002572347266881029
400029,1,0.0,0.0,58.0,0.017241379310344827
400030,4,0.0,0.0,816.0,0.004901960784313725
400031,1,0.0,0.0,320.0,0.003125
400040,1,1.0,0.14000000000000012,194.0,0.005154639175257732
400042,2,0.0,-0.11899999999999977,1575.0,0.0012698412698412698
400043,1,0.0,0.0,61.0,0.01639344262295082
400044,4,0.0,0.0,187.0,0.0213903743315508
400049,3,0.0,0.0,88.0,0.03409090909090909
400050,9,0.5555555555555556,25.74,1968.0,0.004573170731707317
400064,10,0.4,0.1999999999999995,5451.0,0.00183452577508714
400065,2,0.0,-0.040000000000000036,427.0,0.00468384074941452
400070,143,0.07692307692307693,-4.440000000000002,48953.0,0.0029211692848242193
400072,7,0.14285714285714285,-0.6400000000000006,7089.0,0.0009874453378473692
400073,7,0.0,0.0,4936.0,0.0014181523500810373
400074,1,0.0,0.0,84.0,0.011904761904761904
400075,2,0.0,0.0,1474.0,0.0013568521031207597
400077,55,0.07272727272727272,-1.488999999999998,31396.0,0.0017518155179003694
400079,3,0.6666666666666666,2.0,145.0,0.020689655172413793
400080,11,0.18181818181818182,29.0,16300.0,0.0006748466257668712
400081,7,0.42857142857142855,1.6200000000000006,3253.0,0.002151859821703043
400090,1,0.0,0.0,2211.0,0.0004522840343735866
400098,1,0.0,0.0,1072.0,0.0009328358208955224
400100,1,0.0,0.0,2103.0,0.00047551117451260106
400103,5,0.0,-0.5199999999999996,694.0,0.007204610951008645
400105,3,0.0,0.0,4346.0,0.0006902899217671422
400106,2,0.0,0.0,2724.0,0.0007342143906020558
400112,2,0.5,8.0,1565.0,0.0012779552715654952
400119,14,0.14285714285714285,-2.879999999999999,21532.0,0.0006501950585175553
400120,2,0.5,1.86,1469.0,0.0013614703880190605
400121,20,0.0,0.0,6293.0,0.0031781344350866043
400122,96,0.19791666666666666,55.23000000000001,79868.0,0.0012019832723994591
400126,9,0.0,-3.780000000000001,4880.0,0.0018442622950819673
400127,1,0.0,-0.16000000000000014,4941.0,0.00020238818053025704
400129,28,0.03571428571428571,-4.989999999999996,11449.0,0.0024456284391649926
400134,1,0.0,0.0,136.0,0.007352941176470588
400135,129,0.1937984496124031,15.940999999999997,34306.0,0.0037602751705241065
400150,1,0.0,0.0,4.0,0.25
400160,1,0.0,0.0,175.0,0.005714285714285714
400163,2,0.0,0.0,2172.0,0.0009208103130755065
400165,11,0.09090909090909091,-1.1100000000000008,748.0,0.014705882352941176
400166,109,0.045871559633027525,-16.65,21620.0,0.005041628122109158
400168,7,0.0,-1.0099999999999996,1830.0,0.003825136612021858
400170,14,0.2857142857142857,2.39,4035.0,0.003469640644361834
400173,10,0.4,2.5299999999999994,2001.0,0.004997501249375313
400174,6,0.5,2.07,1992.0,0.0030120481927710845
400175,3,0.3333333333333333,2.3600000000000003,1100.0,0.0027272727272727275
400176,45,0.3333333333333333,128.671,13253.0,0.0033954576322342113
400177,4,0.0,0.0,903.0,0.004429678848283499
400182,4,0.0,0.0,5493.0,0.0007281995266703076
400183,1,0.0,0.0,183.0,0.00546448087431694
400184,1,0.0,0.0,1446.0,0.0006915629322268327
400185,2,1.0,2.0,253.0,0.007905138339920948
400186,13,0.0,0.0,1235.0,0.010526315789473684
400199,2,1.0,0.2599999999999998,1005.0,0.001990049751243781
400200,4,0.0,0.0,589.0,0.006791171477079796
400205,7,0.0,-0.96,3504.0,0.001997716894977169
400210,3,1.0,4.0,11.0,0.2727272727272727
400227,2,0.0,0.0,12641.0,0.00015821533106558027
400234,8,0.0,-5.9,13672.0,0.0005851375073142189
400235,10,0.6,7.02,1688.0,0.005924170616113744
400237,5,0.2,-2.380000000000001,7523.0,0.0006646284726837697
400238,5,0.2,-0.72,3600.0,0.001388888888888889
400239,1,0.0,-0.6399999999999997,596.0,0.0016778523489932886
