
order_number,order_created_date,order_created_time,requested_delivery_date,customer_number,order_row_number,product_code,order_qty,sales_unit,delivery_number,plant,storage_location,delivered_qty,transfer_number,warehouse_number,picking_confirmed_date,picking_confirmed_time,picking_picked_qty
32014535,2024-09-02,070832,2024-09-02,33345,10,410397,2.000,ST,21042242,30588,2012,2.000,32017375,3001,2024-09-02,082024,2.000
32014536,2024-09-02,070818,2024-09-02,31599,10,406468,1.000,ST,21042243,30588,2012,1.000,32017376,3001,2024-09-02,081259,1.000
32014537,2024-09-02,071137,2024-09-02,31260,10,411433,5.000,PAK,21042244,30588,2012,5.000,32017373,3001,2024-09-02,074027,5.000
32014538,2024-09-02,071223,2024-09-02,31600,10,406468,1.000,ST,21042245,30588,2012,1.000,32017377,3001,2024-09-02,081532,1.000
32014539,2024-09-02,071239,2024-09-02,33814,10,410636,1.000,ST,21042246,30588,2012,1.000,32017372,3001,2024-09-02,075944,1.000
32014540,2024-09-02,071335,2024-09-02,31179,10,400702,5.000,BAG,21042247,30588,2012,5.000,32017374,3001,2024-09-02,075828,5.000
32014541,2024-09-02,071348,2024-09-02,31601,10,406468,1.000,ST,21042248,30588,2012,1.000,32017378,3001,2024-09-02,082246,1.000
32014542,2024-09-02,071050,2024-09-02,31645,10,404588,1.000,PRK,21042249,30588,2012,1.000,32017370,3001,2024-09-02,075628,1.000
32014542,2024-09-02,071050,2024-09-02,31645,20,416766,6.000,ST,21042249,30588,2012,6.000,32017370,3001,2024-09-02,075828,6.000
32014543,2024-09-02,071407,2024-09-02,33345,10,406824,3.000,ST,21042250,30588,2012,0.000,,,,,
32014544,2024-09-02,071531,2024-09-02,31602,10,404588,1.000,PRK,21042251,30588,2012,1.000,32017371,3001,2024-09-02,075616,1.000
32014545,2024-09-02,071532,2024-09-02,33893,10,411332,1.000,ST,21042265,30588,2007,0.000,,,,,
32014547,2024-09-02,071733,2024-09-02,33365,10,411054,1.000,ST,21042266,30588,2007,0.000,,,,,
32014548,2024-09-02,071837,2024-09-02,31869,10,406468,2.000,ST,21042252,30588,2012,2.000,32017383,3001,2024-09-02,082300,2.000
32014549,2024-09-02,071726,2024-09-02,33332,10,417149,2.000,ST,21042253,30588,2012,2.000,32017388,3001,2024-09-02,080625,2.000
32014549,2024-09-02,071726,2024-09-02,33332,30,411278,3.000,ST,21042253,30588,2012,3.000,32017389,3001,2024-09-02,082118,3.000
32014550,2024-09-02,072145,2024-09-02,32254,10,408907,1.000,ST,21042254,30588,2012,1.000,32017379,3001,2024-09-02,090150,1.000
32014551,2024-09-02,072059,2024-09-02,401729,10,416766,6.000,ST,21042255,30588,2012,6.000,32017385,3001,2024-09-02,082407,6.000
32014552,2024-09-02,072426,2024-09-02,31604,10,406468,1.000,ST,21042256,30588,2012,1.000,32017384,3001,2024-09-02,082227,1.000
32014553,2024-09-02,072450,2024-09-02,31607,10,404588,1.000,PRK,21042257,30588,2012,1.000,32017380,3001,2024-09-02,080533,1.000
32014554,2024-09-02,072558,2024-09-02,32223,10,417069,4.000,KLE,21042258,30588,2012,4.000,32017387,3001,2024-09-02,080507,4.000
32014555,2024-09-02,072725,2024-09-02,33334,10,417149,2.000,ST,21042259,30588,2012,2.000,32017381,3001,2024-09-02,080417,2.000
32014557,2024-09-02,073052,2024-09-02,31621,10,416579,2.000,ST,21042260,30588,2012,2.000,32017382,3001,2024-09-02,080912,2.000
32014558,2024-09-02,073258,2024-09-02,32542,10,408418,6.000,ST,21042261,30588,2012,6.000,32017386,3001,2024-09-02,082123,6.000
32014559,2024-09-02,073120,2024-09-02,35810,10,409597,3.000,KG,21042262,30588,2012,3.780,32017391,3001,2024-09-02,090326,3.780
